lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Ensemble de maisons espacées,LCZ 6,69385,Lyon 5e Arrondissement,moyen,faible,moyen,moyen,18335,
Ensemble de maisons espacées,LCZ 6,69290,Saint-Priest,moyen,faible,moyen,moyen,49010,
Grandes emprises tertiaires bâti bas,LCZ 8,69259,Vénissieux,moyen,faible,moyen,moyen,59134,
Ensemble d'immeubles espacés,LCZ 5,69163,Quincieux,fort,faible,moyen,moyen,7649,
Ensemble de tours espacées,LCZ 4,69385,Lyon 5e Arrondissement,fort,fort,fort,fort,1807,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,moyen,moyen,8430,
Ensemble de tours espacées,LCZ 4,69256,Vaulx-en-Velin,moyen,fort,fort,fort,11427,
Roche nue,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,1767,
Grandes emprises tertiaires bâti bas,LCZ 8,69266,Villeurbanne,moyen,faible,moyen,moyen,19888,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles espacés,LCZ 5,69191,Saint-Cyr-au-Mont-d'Or,moyen,faible,moyen,moyen,2175,
Ensemble de tours compact,LCZ 1,69266,Villeurbanne,fort,fort,fort,fort,10533,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,4679,
Ensemble d'immeubles compact,LCZ 2,69384,Lyon 4e Arrondissement,fort,moyen,fort,fort,3757,
Maisons éparses,,,,,,,,,
Ensemble de tours espacées,LCZ 4,69386,Lyon 6e Arrondissement,moyen,fort,moyen,fort,9621,
Ensemble d'immeubles compact,LCZ 2,69385,Lyon 5e Arrondissement,fort,fort,fort,fort,5180,
Ensemble de maisons espacées,LCZ 6,69256,Vaulx-en-Velin,moyen,moyen,fort,fort,4707,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,moyen,fort,moyen,fort,13200,
Ensemble de tours espacées,LCZ 4,69266,Villeurbanne,moyen,fort,moyen,moyen,5485,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69040,Champagne-au-Mont-d'Or,fort,moyen,fort,moyen,8722,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,fort,fort,12241,
Ensemble de maisons espacées,LCZ 6,69149,Oullins,moyen,faible,moyen,moyen,33053,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,moyen,moyen,moyen,14004,
Roche nue,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,moyen,fort,fort,5314,
Maisons éparses,,,,,,,,,
Arbres denses,LCZ A,69071,Curis-au-Mont-d'Or,effet rafraîchissant,effet rafraîchissant,faible,faible,706043,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,4016,
Arbres épars,LCZ B,69275,Décines-Charpieu,faible,effet rafraîchissant,faible,faible,3419,
Ensemble de maisons espacées,LCZ 6,69282,Meyzieu,moyen,faible,moyen,moyen,69618,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,8685,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69040,Champagne-au-Mont-d'Or,moyen,faible,moyen,moyen,35717,
Roche nue,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69202,Sainte-Foy-lès-Lyon,fort,fort,fort,fort,1503,
Ensemble d'immeubles espacés,LCZ 5,69388,Lyon 8e Arrondissement,fort,moyen,fort,fort,3141,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Arbres épars,LCZ B,69275,Décines-Charpieu,moyen,faible,moyen,moyen,98766,
Ensemble d'immeubles compact,LCZ 2,69199,Saint-Fons,fort,moyen,fort,moyen,8596,
Roche nue,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69029,Bron,moyen,faible,moyen,moyen,44870,
Arbres épars,LCZ B,69044,Charbonnières-les-Bains,moyen,faible,moyen,moyen,198089,
Ensemble de maisons espacées,LCZ 6,69266,Villeurbanne,moyen,faible,moyen,moyen,56496,
Maisons éparses,,,,,,,,,
Roche nue,,,,,,,,,
Grandes emprises tertiaires bâti bas,LCZ 8,69034,Caluire-et-Cuire,moyen,faible,moyen,moyen,102776,
Ensemble d'immeubles compact,LCZ 2,69388,Lyon 8e Arrondissement,fort,fort,moyen,fort,93715,
Grandes emprises tertiaires bâti bas,LCZ 8,69259,Vénissieux,moyen,faible,moyen,moyen,7872,
Grandes emprises tertiaires bâti bas,LCZ 8,69388,Lyon 8e Arrondissement,moyen,faible,moyen,moyen,6093,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,2902,
Grandes emprises tertiaires bâti bas,LCZ 8,69089,Francheville,moyen,faible,moyen,moyen,93905,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,1222,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,moyen,fort,10776,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69386,Lyon 6e Arrondissement,fort,fort,fort,fort,2535,
Ensemble d'immeubles compact,LCZ 2,69202,Sainte-Foy-lès-Lyon,fort,fort,moyen,moyen,16093,
Grandes emprises tertiaires bâti bas,LCZ 8,69072,Dardilly,moyen,faible,moyen,moyen,33069,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69389,Lyon 9e Arrondissement,fort,fort,fort,fort,4861,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,3507,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69385,Lyon 5e Arrondissement,fort,fort,fort,fort,3007,
Ensemble d'immeubles compact,LCZ 2,69168,Rochetaillée-sur-Saône,fort,moyen,moyen,fort,5654,
Ensemble de tours espacées,LCZ 4,69388,Lyon 8e Arrondissement,moyen,moyen,moyen,fort,10698,
Ensemble de maisons espacées,LCZ 6,69168,Rochetaillée-sur-Saône,moyen,moyen,moyen,moyen,19305,
Roche nue,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69273,Corbas,moyen,faible,moyen,moyen,23522,
